PLAY_MONTH,DISTINCT_SONG_PLAYS
2025-10-01 00:00:00.000000000,135
2025-11-01 00:00:00.000000000,317723
2025-12-01 00:00:00.000000000,372150
2026-01-01 00:00:00.000000000,315695
2026-02-01 00:00:00.000000000,173221
2026-03-01 00:00:00.000000000,129615
2026-04-01 00:00:00.000000000,20106
