WINDOW_LABEL,PAGE_LEAVERS,AVG_SCROLL_PCT,SHARE_AT_GE_5,SHARE_AT_GE_20,SHARE_AT_GE_50,SHARE_AT_GE_95,SHARE_AT_100,SHARE_BELOW_5
1_pre,4013,38.7169200099676,0.7939197607774732,0.5753800149514079,0.3012708696735609,0.21953650635434838,0.21629703463742836,0.2060802392225268
2_post_2wk,83,36.01204819277108,0.5903614457831325,0.4819277108433735,0.3132530120481928,0.27710843373493976,0.27710843373493976,0.40963855421686746
3_post_8wk,83,36.01204819277108,0.5903614457831325,0.4819277108433735,0.3132530120481928,0.27710843373493976,0.27710843373493976,0.40963855421686746
4_post_8wk_clean,83,36.01204819277108,0.5903614457831325,0.4819277108433735,0.3132530120481928,0.27710843373493976,0.27710843373493976,0.40963855421686746
