WINDOW_LABEL,PRICING_VISITORS,BOUNCERS,ENGAGEMENT_BOUNCE_RATE
1_pre,15334,5270,0.3436807095343681
2_post_2wk,7016,2471,0.3521949828962372
3_post_8wk,27038,9974,0.3688882313780605
4_post_8wk_clean,18046,6684,0.37038678931619196
