month_start,bucket,sessions,sessions_direct
2025-12-01,1_real,577833,308513
2026-01-01,1_real,525794,269950
2026-02-01,1_real,478583,246037
2026-03-01,1_real,523943,246087
2026-03-01,2_artifact_w1_DE_NL_CA,165660,165660
2026-04-01,1_real,532584,256587
2026-04-01,3_artifact_w2_APAC,66274,66274
