COLUMN_NAME,DATA_TYPE
ITEM_PRICE,TEXT
JSON,TEXT
KEYS,TEXT
KEYWORD,TEXT
LANE_NUMBER,TEXT
LAST_NAME,TEXT
LICENSED_SONGS_COUNT,TEXT
LICENSE_ID,TEXT
LICENSE_TYPE,TEXT
LINK_TEXT,TEXT
LINK_URL,TEXT
LI_FAT_ID,TEXT
MARKETPLACE,TEXT
MARKETPLACE_ARTIST_ID,TEXT
MARKETPLACE_PLAYLIST,TEXT
MARKETPLACE_SONG_ID,TEXT
MEDIATYPE,TEXT
MEMBER_DEAL_TITLE,TEXT
MESSAGE,TEXT
MOBILE_APP,TEXT
MOBILE_APP_DEVICE_TYPE,TEXT
MOBILE_APP_OS,TEXT
MOBILE_APP_VERSION,TEXT
MODULE_ID,TEXT
MP_COUNTRY_CODE,TEXT
MP_KEYWORD,TEXT
MP_LIB,TEXT
MP_ORIGINAL_DISTINCT_ID,TEXT
MP_ORIGINAL_EVENT_NAME,TEXT
MP_PROCESSING_TIME_MS,TEXT
MP_RESERVED_BROWSER,TEXT
MP_RESERVED_BROWSER_VERSION,TEXT
MP_RESERVED_CITY,TEXT
MP_RESERVED_CLIENTX,TEXT
MP_RESERVED_CLIENTY,TEXT
MP_RESERVED_CURRENT_URL,TEXT
MP_RESERVED_DEVICE,TEXT
MP_RESERVED_DEVICE_ID,TEXT
MP_RESERVED_DISTINCT_ID_BEFORE_IDENTITY,TEXT
MP_RESERVED_EL_ATTR__HREF,TEXT
MP_RESERVED_EL_CLASSES,TEXT
MP_RESERVED_EL_ID,TEXT
MP_RESERVED_EMAIL,TEXT
MP_RESERVED_FAILURE_DESCRIPTION,TEXT
MP_RESERVED_FAILURE_REASON,TEXT
MP_RESERVED_FOLD_LINE_PERCENTAGE,TEXT
MP_RESERVED_HOST,TEXT
MP_RESERVED_INITIAL_REFERRER,TEXT
MP_RESERVED_INITIAL_REFERRING_DOMAIN,TEXT
MP_RESERVED_INSERT_ID,TEXT
MP_RESERVED_LIB_VERSION,TEXT
MP_RESERVED_MAX_SCROLL_PERCENTAGE,TEXT
MP_RESERVED_MAX_SCROLL_VIEW_DEPTH,TEXT
MP_RESERVED_MP_AUTOCAPTURE,TEXT
MP_RESERVED_MP_REPLAY_ID,TEXT
MP_RESERVED_MP_REPLAY_RETENTION_PERIOD,TEXT
MP_RESERVED_OFFSETX,TEXT
MP_RESERVED_OFFSETY,TEXT
MP_RESERVED_OS,TEXT
MP_RESERVED_PAGEHEIGHT,TEXT
MP_RESERVED_PAGEWIDTH,TEXT
MP_RESERVED_PAGEX,TEXT
MP_RESERVED_PAGEY,TEXT
MP_RESERVED_PRESHUFFLE_DISTINCT_ID,TEXT
MP_RESERVED_REFERRER,TEXT
MP_RESERVED_REFERRING_DOMAIN,TEXT
MP_RESERVED_REGION,TEXT
MP_RESERVED_SCREENX,TEXT
MP_RESERVED_SCREENY,TEXT
MP_RESERVED_SCREEN_HEIGHT,TEXT
MP_RESERVED_SCREEN_WIDTH,TEXT
MP_RESERVED_SCROLL_HEIGHT,TEXT
MP_RESERVED_SEARCH_ENGINE,TEXT
MP_RESERVED_TARGET,TEXT
MP_RESERVED_USER_AGENT,TEXT
MP_RESERVED_USER_ID,TEXT
MP_RESERVED_VIEWPORTHEIGHT,TEXT
MP_RESERVED_VIEWPORTWIDTH,TEXT
