ISO_WEEK_START,VISITORS,SUBSCRIBERS,CUMULATIVE_CONVERSION_RATE,FREE_SHARE,ANON_SHARE,PAID_SHARE
2026-01-05 00:00:00.000000000 +00:00,3539,116,0.032777620796835265,0.2486578129415089,0.7228030517095224,0.028539135348968635
2026-01-12 00:00:00.000000000 +00:00,3672,114,0.03104575163398693,0.21323529411764705,0.7595315904139434,0.027233115468409588
2026-01-19 00:00:00.000000000 +00:00,3617,114,0.031517832457837985,0.24301907658280342,0.7329278407520045,0.024053082665192148
2026-01-26 00:00:00.000000000 +00:00,3420,114,0.03333333333333333,0.2517543859649123,0.7192982456140351,0.02894736842105263
2026-02-02 00:00:00.000000000 +00:00,3235,130,0.0401854714064915,0.2531684698608965,0.719629057187017,0.027202472952086554
2026-02-09 00:00:00.000000000 +00:00,3133,112,0.03574848388126396,0.25470794765400573,0.7239067985955953,0.02138525375039898
2026-02-16 00:00:00.000000000 +00:00,3061,124,0.04050963737340738,0.2731133616465207,0.7108787977785037,0.016007840574975497
2026-02-23 00:00:00.000000000 +00:00,3334,146,0.04379124175164967,0.27894421115776846,0.7015596880623876,0.019496100779844032
2026-03-02 00:00:00.000000000 +00:00,3244,121,0.03729963008631319,0.2845252774352651,0.6972872996300863,0.018187422934648582
2026-03-09 00:00:00.000000000 +00:00,3190,106,0.03322884012539185,0.28871473354231975,0.6943573667711599,0.016927899686520375
2026-03-16 00:00:00.000000000 +00:00,3018,136,0.04506295559973492,0.32935719019218024,0.6520874751491054,0.01855533465871438
2026-03-23 00:00:00.000000000 +00:00,3529,152,0.043071691697364696,0.312269764805894,0.6741286483423066,0.013601586851799376
2026-03-30 00:00:00.000000000 +00:00,3725,182,0.04885906040268456,0.32859060402684565,0.6539597315436242,0.0174496644295302
2026-04-06 00:00:00.000000000 +00:00,3583,140,0.039073402176946694,0.34579960926597825,0.6385710298632431,0.015629360870778677
2026-04-13 00:00:00.000000000 +00:00,3301,116,0.035140866404119966,0.34595577097849134,0.6328385337776431,0.021205695243865494
