WINDOW_LABEL,USERS_WITH_CLICK,AVG_DEEPEST_RATIO,SHARE_DEEPEST_GE_05,SHARE_DEEPEST_GE_20,SHARE_DEEPEST_GE_50,SHARE_DEEPEST_GE_95,SHARE_DEEPEST_BELOW_05
1_pre,5441,1.759845562201829,0.8957912148502114,0.8650983275133247,0.7583164859400845,0.3659253813637199,0.10420878514978864
2_post_2wk,16,0.6165396649381075,0.875,0.75,0.6875,0.1875,0.125
