MONTH,ROW_COUNT,ROWS_NAMED,ROWS_UNNAMED,PCT_NAMED,TOTAL_SPEND_USD,SPEND_WITH_NAME
2026-04-01,233,232,1,99.6,5037.086399000001,5037.086399000001
2026-03-01,346,346,0,100.0,7207.999996,7207.999996
2026-02-01,105,104,1,99.0,3616.305078,3616.305078
2026-01-01,17,17,0,100.0,569.07,569.07
