month_start,rate_reported,subscribers_in_cohort,censored_flag
2024-05-01,0.8354126679462572,2084.0,0
2024-06-01,0.8331435079726651,1756.0,0
2024-07-01,0.8411442483262325,1643.0,0
2024-08-01,0.8188539741219963,1623.0,0
2024-09-01,0.7758215962441315,1704.0,0
2024-10-01,0.7885847408270239,1717.0,0
2024-11-01,0.7756448710257948,1667.0,0
2024-12-01,0.7670329670329671,1365.0,0
2025-01-01,0.7769886363636364,1408.0,0
2025-02-01,0.8019966722129783,1202.0,0
2025-03-01,0.787991104521868,1349.0,0
2025-04-01,0.8165846802529867,1423.0,0
2025-05-01,0.7992277992277992,1295.0,0
2025-06-01,0.8098330241187384,1078.0,0
2025-07-01,0.8104448742746615,1034.0,0
2025-08-01,0.8248175182481752,959.0,0
2025-09-01,0.8021978021978022,1001.0,0
2025-10-01,0.7677208287895311,917.0,0
2025-11-01,0.7905491698595147,783.0,0
2025-12-01,0.7582582582582582,666.0,0
2026-01-01,0.7588235294117647,510.0,0
2026-02-01,0.7686274509803922,510.0,0
2026-03-01,0.6600331674958541,603.0,0
2026-04-01,0.6185383244206774,561.0,1
