month_start,rate_reported,engaged_visitors,censored_flag
2024-05-01,0.1583123142325956,168894.0,0
2024-06-01,0.17231652719816581,138263.0,0
2024-07-01,0.18548418670571376,127709.0,0
2024-08-01,0.19409867049009386,122752.0,0
2024-09-01,0.2050126008647199,129753.0,0
2024-10-01,0.2124759776991559,147259.0,0
2024-11-01,0.20825782507212548,137954.0,0
2024-12-01,0.21468643476118116,121745.0,0
2025-01-01,0.21058992756768719,117489.0,0
2025-02-01,0.21480284314857265,121274.0,0
2025-03-01,0.20975437627529495,130362.0,0
2025-04-01,0.21014124045968946,113990.0,0
2025-05-01,0.2097384999192347,111434.0,0
2025-06-01,0.19346847383340082,83962.0,0
2025-07-01,0.18341255115268282,78686.0,0
2025-08-01,0.15346421703371324,92041.0,0
2025-09-01,0.1900965983005342,108387.0,0
2025-10-01,0.20222935917662083,106488.0,0
2025-11-01,0.19411259131929523,93080.0,0
2025-12-01,0.17865623870734604,77484.0,0
2026-01-01,0.1744864247549386,73553.0,0
2026-02-01,0.17730181301102027,67512.0,0
2026-03-01,0.18416928898118304,78493.0,0
2026-04-01,0.1911400831480714,79617.0,0
