month_start,tile_01_revenue_per_session_reported,tile_01_revenue_per_session_corrected,tile_01_subscribing_sessions,tile_02_avg_revenue_per_transaction,tile_02_transactions,tile_03_revenue_per_engaged_session,tile_03_engaged_sessions,tile_04_purchase_cvr_reported,tile_04_purchase_cvr_corrected,tile_04_conversions,tile_05_signups_per_session_reported,tile_05_signups_per_session_corrected,tile_05_signed_up_visitors,tile_06_mqls_per_session_reported,tile_06_mqls_per_session_corrected,tile_06_mql_visitors_3component_sum,tile_06_mql_pricing,tile_06_mql_enterprise,tile_06_mql_demo,tile_07_pct_dl_first_7d,tile_07_subscribers_in_cohort,tile_07_censored_flag,tile_08_songs_per_sub_0_30d,tile_08_subscribers_in_cohort,tile_08_censored_flag,tile_09_pct_dl_30_60d,tile_09_subs_60_plus,tile_09_censored_flag,tile_10_sessions_per_engaged_30_60,tile_10_engaged_subs_30_60,tile_10_censored_flag,tile_11_engaged_signup_cvr,tile_11_engaged_visitors,tile_12_expansion_rate,tile_12_expansions_qualifying,tile_12_qualifying_subs_for_expansion_rate,tile_13_avg_expansion_value_usd,tile_13_expansions_all_n,tile_14_revenue_per_session_reported,tile_14_revenue_per_session_corrected,tile_14_subscribing_sessions
2024-05-01,0.5833374478144591,0.5833374478144591,2070.0,196.44061215370868,2238.0,1.4030397582209968,313344.0,0.0027569487303622836,0.0027569487303622836,2238.0,0.03293802285631222,0.03293802285631222,26738.0,0.0001392025051523405,0.0001392025051523405,113.0,103.0,10.0,0.0,0.8354126679462572,2084.0,0,9.251439539347409,2084.0,0,0.5080886758538047,1669.0,0,5.195953141640042,939.0,0,0.1583123142325956,168894.0,0.013718765311121999,28.0,2041.0,72.08678571428571,28.0,0.5833374478144591,0.5833374478144591,2070.0
2024-06-01,0.6355290625481937,0.6355290625481937,1734.0,187.66174068402245,1959.0,1.3726117491561873,267832.0,0.003114611007502731,0.003114611007502731,1959.0,0.03787932988961335,0.03787932988961335,23825.0,0.00017011913108871474,0.00017011913108871474,107.0,98.0,9.0,0.0,0.8331435079726651,1756.0,0,11.10250569476082,1756.0,0,0.5296640457469621,1399.0,0,5.566791510611735,801.0,0,0.17231652719816581,138263.0,0.011046511627906977,19.0,1720.0,66.6965,20.0,0.6355290625481937,0.6355290625481937,1734.0
2024-07-01,0.7037420928924107,0.7037420928924107,1630.0,181.56883625128734,1942.0,1.3634372196615832,258616.0,0.0034038465920344383,0.0034038465920344383,1942.0,0.041519216309017386,0.041519216309017386,23688.0,0.0002856987613293581,0.0002856987613293581,163.0,148.0,15.0,0.0,0.8411442483262325,1643.0,0,11.399269628727938,1643.0,0,0.5519379844961241,1290.0,0,6.039490445859872,785.0,0,0.18548418670571376,127709.0,0.017326732673267328,28.0,1616.0,54.731785714285714,28.0,0.7037420928924107,0.7037420928924107,1630.0
2024-08-01,0.6886705634296139,0.6886705634296139,1606.0,188.9018167288226,1877.0,1.3877607564863776,255497.0,0.003254623576860788,0.003254623576860788,1877.0,0.04131308542476566,0.04131308542476566,23826.0,0.00024622085664050713,0.00024622085664050713,142.0,119.0,23.0,0.0,0.8188539741219963,1623.0,0,10.006777572396796,1623.0,0,0.542319749216301,1276.0,0,5.81924577373212,769.0,0,0.19409867049009386,122752.0,0.013316423589093214,21.0,1577.0,76.235,22.0,0.6886705634296139,0.6886705634296139,1606.0
2024-09-01,0.6862182407126227,0.6862182407126227,1696.0,187.37208020050124,1995.0,1.4337280035593194,260724.0,0.0032571534927460987,0.0032571534927460987,1995.0,0.043430345895007,0.043430345895007,26601.0,0.0002530620508148598,0.0002530620508148598,155.0,103.0,39.0,13.0,0.7758215962441315,1704.0,0,9.446596244131456,1704.0,0,0.5271493212669683,1326.0,0,6.584534731323722,763.0,0,0.2050126008647199,129753.0,0.017710309930423784,28.0,1581.0,71.66892857142857,28.0,0.6862182407126227,0.6862182407126227,1696.0
2024-10-01,0.5234974259143872,0.5234974259143872,1707.0,182.62236460348163,2068.0,1.3027131301633292,289905.0,0.002541517807215797,0.002541517807215797,2068.0,0.03845336105898214,0.03845336105898214,31289.0,0.00019786478092927626,0.00019786478092927626,161.0,112.0,32.0,17.0,0.7885847408270239,1717.0,0,9.238206173558533,1717.0,0,0.5414488424197162,1339.0,0,6.374541003671971,817.0,0,0.2124759776991559,147259.0,0.02360774818401937,39.0,1652.0,65.01153846153845,39.0,0.5234974259143872,0.5234974259143872,1707.0
2024-11-01,0.5167953667449752,0.5167953667449752,1656.0,185.7128388090349,1948.0,1.3721808113182499,263645.0,0.002542417123466458,0.002542417123466458,1948.0,0.03749673714434874,0.03749673714434874,28730.0,0.00014878621769772905,0.00014878621769772905,114.0,66.0,35.0,13.0,0.7756448710257948,1667.0,0,9.072585482903419,1667.0,0,0.48921933085501856,1345.0,0,5.837988826815643,716.0,0,0.20825782507212548,137954.0,0.02401477832512315,39.0,1624.0,76.88230769230769,39.0,0.5167953667449752,0.5167953667449752,1656.0
2024-12-01,0.48602018805603175,0.48602018805603175,1351.0,180.61570379436964,1634.0,1.2531998573236292,235498.0,0.0024768946955950988,0.0024768946955950988,1634.0,0.03961970419753311,0.03961970419753311,26137.0,0.00012884703128860674,0.00012884703128860674,85.0,48.0,28.0,9.0,0.7670329670329671,1365.0,0,8.071794871794872,1365.0,0,0.5284403669724771,1090.0,0,6.804992199687987,641.0,0,0.21468643476118116,121745.0,0.015730337078651686,21.0,1335.0,77.80380952380953,21.0,0.48602018805603175,0.48602018805603175,1351.0
2025-01-01,0.5274313251796111,0.5274313251796111,1389.0,185.75690987124466,1631.0,1.3388787640419646,226286.0,0.002571954811810492,0.002571954811810492,1631.0,0.03901612872704795,0.03901612872704795,24742.0,0.00016557649003071838,0.00016557649003071838,105.0,63.0,37.0,5.0,0.7769886363636364,1408.0,0,9.799715909090908,1408.0,0,0.4850597609561753,1004.0,0,6.921052631578948,646.0,0,0.21058992756768719,117489.0,0.019867549668874173,27.0,1359.0,86.19074074074075,27.0,0.5274313251796111,0.5274313251796111,1389.0
2025-02-01,0.4604713224444024,0.4604713224444024,1184.0,183.44962676056338,1420.0,1.1392194223839345,228664.0,0.00225551131011851,0.00225551131011851,1420.0,0.041377513822948714,0.041377513822948714,26050.0,0.00015566204816310842,0.00015566204816310842,98.0,61.0,31.0,6.0,0.8019966722129783,1202.0,0,16.231281198003327,1202.0,0,0.5,884.0,0,6.576709796672828,541.0,0,0.21480284314857265,121274.0,0.013009540329575022,15.0,1153.0,70.31266666666667,15.0,0.4604713224444024,0.4604713224444024,1184.0
