CONTENT_TYPE,CREATED_AT,DESCRIPTION,FILE,ID,PUBLISHED,TITLE,UPDATED_AT,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
image/png,2025-10-26 19:41:02.083000000 +00:00,,Music_101_Cheat_Sheet_Premiere_Pro_Extension_Banner_PinkJoy.png,67,false,Music 101 Cheat Sheet Premiere Pro Extension Banner_PinkJoy.png,2025-10-26 19:41:02.083000000 +00:00,2025-11-06 14:53:24.558000000 +00:00,2025-11-06 14:43:28.570000000 +00:00,1762440202629879253,1758147013265
,2025-10-26 19:34:27.651000000 +00:00,"",Music_101_Cheat_Sheet_Premiere_Pro_Extension_Banner_PinkJoy.png,66,false,Music Licensing 101 Cheat Sheet PPro Ext Banner_Pink Joy,2025-10-26 19:34:27.651000000 +00:00,2025-10-26 19:43:37.168000000 +00:00,2025-10-26 19:43:28.928000000 +00:00,1761507802055740378,1758147013265
image/png,2025-08-15 17:51:11.453000000 +00:00,,21_-_Targeted_Concept_A_v1.png,65,false,21 - Targeted_Concept A_v1.png,2025-08-15 17:51:11.453000000 +00:00,2025-10-26 19:43:37.168000000 +00:00,2025-10-26 19:43:28.928000000 +00:00,1761507802055587766,1758147013265
,2025-05-06 18:28:35.585000000 +00:00,"",Creator_to_Personal_-_InApp_-_5.6.25_List.csv,16,false,Creator -> Personal: List 11 - 5/6/25,2025-05-06 18:28:35.585000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393596923,1758147013265
,2025-04-29 18:23:50.826000000 +00:00,"",Creator_to_Personal_-_4_29_In_APP.csv,10,false,Creator -> Personal: List 6 - 4/29/25,2025-04-29 18:23:50.826000000 +00:00,2025-09-17 22:10:43.259000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393233818,1758147013265
,2025-04-24 17:05:11.531000000 +00:00,"",Creator_to_Personal_-_4_24_25.csv,6,false,Creator -> Persona: List 3 - 4/24/25,2025-04-24 17:05:11.531000000 +00:00,2025-09-17 22:10:43.259000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393034479,1758147013265
,2025-05-12 19:36:17.284000000 +00:00,Active users who have never created a project. ,20250512_inapp-notif_NeverCreatedProject.csv,18,false,20250512_inapp-notif_NeverCreatedProject,2025-05-12 19:36:17.284000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393721025,1758147013265
,2025-04-28 17:53:10.172000000 +00:00,"",Creator_to_Personal_-_4_28_25.csv,9,false,Creator -> Personal: List 5 - 4/28/25,2025-04-28 17:53:10.172000000 +00:00,2025-09-17 22:10:43.259000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393174570,1758147013265
,2025-05-07 21:59:25.234000000 +00:00,"",Creator_to_Personal_-_In-App_-_5.7.25.csv,17,false,Creator -> Personal: List 12 - 5/7/25,2025-05-07 21:59:25.234000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393658772,1758147013265
,2025-05-05 21:01:27.314000000 +00:00,"",Creator_-__Personal__In-App_Target_List_-_Creator_w__Personal_+_Biz_w__No_Actvy___90.csv,15,false,Creator -> Personal: List 10 - 5/5/25,2025-05-05 21:01:27.314000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393497583,1758147013265
,2025-04-30 15:45:38.640000000 +00:00,"",In-App_-_4_30_25_.csv,11,false,Creator -> Personal: 4/30/25 - List 7 ,2025-04-30 15:45:38.640000000 +00:00,2025-09-17 22:10:43.259000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393290453,1758147013265
,2025-04-23 14:40:07.689000000 +00:00,"Creator to Personal: 

List 2",Creator_to_Personal_-_4_23_25.csv,5,false,Creator -> Personal: List 2 - 4/23/25,2025-04-23 14:40:07.689000000 +00:00,2025-09-17 22:10:43.259000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013392967769,1758147013265
,2025-06-05 16:43:26.484000000 +00:00,"",20250606_inappnotif_noyoutubechannel_freeaccounts.csv,23,false,20250606_inappnotif_noyoutubechannel_freeaccounts,2025-06-05 16:43:26.484000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393935367,1758147013265
