CONTENT_TYPE_ID,CREATED_AT,ID,PUBLISHED,PUBLISHED_AT,PUBLISH_AT,UPDATED_AT,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
12,2025-06-27 10:56:27.654000000 +00:00,392882,true,2025-06-27 10:56:27.666000000 +00:00,,2025-06-27 10:56:27.668000000 +00:00,2025-09-17 22:10:55.726000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147020816937072,1758147013551
12,2025-06-27 11:41:17.267000000 +00:00,463954,true,2025-06-27 11:41:17.280000000 +00:00,,2025-06-27 11:41:17.284000000 +00:00,2025-09-17 22:10:57.957000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147021931272404,1758147013551
12,2025-06-27 10:02:09.939000000 +00:00,307254,true,2025-06-27 10:02:09.963000000 +00:00,,2025-06-27 10:02:09.966000000 +00:00,2025-09-17 22:10:53.030000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147019530116978,1758147013551
12,2025-08-01 09:30:27.910000000 +00:00,884515,true,2025-08-01 09:30:27.924000000 +00:00,,2025-08-01 09:30:27.929000000 +00:00,2025-09-17 22:11:10.369000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147028281569035,1758147013551
12,2025-07-18 10:06:25.248000000 +00:00,752414,true,2025-07-18 10:06:25.266000000 +00:00,,2025-07-18 10:06:25.270000000 +00:00,2025-09-17 22:11:06.486000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147026191347238,1758147013551
12,2025-07-11 11:05:51.086000000 +00:00,688280,true,2025-07-11 11:05:51.101000000 +00:00,,2025-07-11 11:05:51.104000000 +00:00,2025-09-17 22:11:04.593000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147025283567126,1758147013551
12,2025-09-05 09:45:49.938000000 +00:00,988033,true,2025-09-05 09:45:49.949000000 +00:00,,2025-09-05 09:45:49.952000000 +00:00,2025-09-17 22:11:13.411000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147029907254814,1758147013551
12,2025-06-27 10:51:57.174000000 +00:00,385436,true,2025-06-27 10:51:57.186000000 +00:00,,2025-06-27 10:51:57.188000000 +00:00,2025-09-17 22:10:55.491000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147020732039920,1758147013551
12,2025-07-25 18:08:27.299000000 +00:00,796785,true,2025-07-25 18:08:27.312000000 +00:00,,2025-07-25 18:08:27.315000000 +00:00,2025-09-17 22:11:07.788000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147026895510078,1758147013551
12,2025-07-11 11:05:16.067000000 +00:00,687258,true,2025-07-11 11:05:16.076000000 +00:00,,2025-07-11 11:05:16.081000000 +00:00,2025-09-17 22:11:04.563000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147025271850113,1758147013551
12,2025-07-11 10:13:24.227000000 +00:00,607036,true,2025-07-11 10:13:24.242000000 +00:00,,2025-07-11 10:13:24.246000000 +00:00,2025-09-17 22:11:02.201000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147024092291474,1758147013551
12,2025-07-04 09:51:30.621000000 +00:00,530426,true,2025-07-04 09:51:30.633000000 +00:00,,2025-07-04 09:51:30.636000000 +00:00,2025-09-17 22:10:59.914000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147022896951569,1758147013551
12,2025-06-27 10:24:39.832000000 +00:00,343330,true,2025-06-27 10:24:39.850000000 +00:00,,2025-06-27 10:24:39.853000000 +00:00,2025-09-17 22:10:54.166000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147020126168814,1758147013551
12,2025-06-25 10:53:24.839000000 +00:00,246584,true,2025-06-25 10:53:24.855000000 +00:00,,2025-06-25 10:53:24.863000000 +00:00,2025-09-17 22:10:51.170000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147018622077475,1758147013551
12,2025-07-04 09:49:49.794000000 +00:00,528081,true,2025-07-04 09:49:49.818000000 +00:00,,2025-07-04 09:49:49.822000000 +00:00,2025-09-17 22:10:59.846000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147022870811219,1758147013551
12,2025-07-25 18:29:33.616000000 +00:00,823704,true,2025-07-25 18:29:33.646000000 +00:00,,2025-07-25 18:29:33.652000000 +00:00,2025-09-17 22:11:08.579000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147027331828447,1758147013551
12,2025-06-25 10:00:27.597000000 +00:00,158150,true,2025-06-25 10:00:27.609000000 +00:00,,2025-06-25 10:00:27.611000000 +00:00,2025-09-17 22:10:48.568000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147017178874260,1758147013551
12,2025-06-27 10:22:47.036000000 +00:00,340190,true,2025-06-27 10:22:47.053000000 +00:00,,2025-06-27 10:22:47.056000000 +00:00,2025-09-17 22:10:54.067000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147020089200394,1758147013551
12,2025-07-18 09:33:09.573000000 +00:00,722226,true,2025-07-18 09:33:09.599000000 +00:00,,2025-07-18 09:33:09.606000000 +00:00,2025-09-17 22:11:05.600000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147025802244996,1758147013551
12,2025-05-29 22:56:14.856000000 +00:00,82130,true,2025-05-29 22:56:14.869000000 +00:00,,2025-05-29 22:56:14.872000000 +00:00,2025-09-17 22:10:46.258000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147015160491805,1758147013551
