CMS_ENTRY_ID,CREATED_AT,ID,READ_AT,UPDATED_AT,USER_ID,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
128396,2025-05-29 23:30:10.808000000 +00:00,345614,,2025-05-29 23:30:10.808000000 +00:00,1083896,2025-11-10 18:56:50.104000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800229344663392,1762800222882
137594,2025-06-06 16:15:39.454000000 +00:00,461567,,2025-06-06 16:15:39.454000000 +00:00,60889,2025-11-10 18:56:53.202000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800230814713379,1762800222882
768298,2025-09-22 23:57:43.804000000 +00:00,1913401,2025-09-22 23:57:46.473000000 +00:00,2025-09-22 23:57:46.474000000 +00:00,1354240,2025-11-10 18:57:38.413000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800251553160749,1762800222882
933151,2025-09-22 20:20:53.206000000 +00:00,1913220,2025-09-22 20:20:55.052000000 +00:00,2025-09-22 20:20:55.053000000 +00:00,12526,2025-11-10 18:57:38.407000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800251550974270,1762800222882
936337,2025-08-22 09:12:56.402000000 +00:00,1730695,,2025-08-22 09:12:56.402000000 +00:00,8104,2025-11-10 18:57:32.553000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800248933078720,1762800222882
137594,2025-06-06 16:11:15.506000000 +00:00,447474,,2025-06-06 16:11:15.506000000 +00:00,41214,2025-11-10 18:56:52.770000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800230596341395,1762800222882
782459,2025-07-25 17:57:20.984000000 +00:00,1461550,,2025-07-25 17:57:20.984000000 +00:00,20774,2025-11-10 18:57:23.751000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800245069261196,1762800222882
670177,2025-07-11 10:53:39.788000000 +00:00,1343716,,2025-07-11 10:53:39.788000000 +00:00,798750,2025-11-10 18:57:19.848000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800243405064546,1762800222882
686236,2025-07-11 11:04:36.977000000 +00:00,1359775,,2025-07-11 11:04:36.977000000 +00:00,64701,2025-11-10 18:57:20.370000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800243660049362,1762800222882
66865,2025-05-29 22:46:41.232000000 +00:00,284083,,2025-05-29 22:46:41.232000000 +00:00,16883,2025-11-10 18:56:48.192000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800228409789534,1762800222882
97827,2025-05-29 23:09:33.691000000 +00:00,315045,,2025-05-29 23:09:33.691000000 +00:00,91543,2025-11-10 18:56:49.151000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800228843692680,1762800222882
