CREATED_AT,ENTRY_ID,FIELD_ID,ID,UPDATED_AT,VALUE__DE,VALUE__IT,VALUE__ST,VALUE__VA,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION,VALUE__BO
2025-05-29 23:02:22.546000000 +00:00,90822,101,363321,2025-05-29 23:02:22.546000000 +00:00,,,New Music,,2025-09-17 22:23:42.170000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147036357576248,1758147030103,
2025-07-25 18:52:26.776000000 +00:00,850867,101,3403366,2025-07-25 18:52:26.776000000 +00:00,,,New Music,,2025-09-17 22:24:10.799000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147082996118167,1758147030103,
2025-07-25 18:41:07.218000000 +00:00,837439,100,3349656,2025-07-25 18:41:07.218000000 +00:00,,,Love The Forgotten Kingdom? Check out Moments's newest releases and make your project pop.,,2025-09-17 22:24:08.638000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147082167321282,1758147030103,
2025-08-22 09:17:35.541000000 +00:00,940305,99,3761133,2025-08-22 09:17:35.541000000 +00:00,,,https://app.soundstripe.com/artists/319,,2025-09-17 22:24:24.115000000 +00:00,2025-09-17 22:11:32.811000000 +00:00,1758147088432439161,1758147030103,
2025-09-05 09:46:14.832000000 +00:00,988668,98,3954484,2025-09-05 09:46:14.832000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:24:30.582000000 +00:00,2025-09-17 22:11:32.811000000 +00:00,1758147091334670878,1758147030103,
2025-05-29 21:57:50.155000000 +00:00,4511,101,18077,2025-05-29 21:57:50.155000000 +00:00,,,New Music,,2025-09-17 22:23:26.755000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147030699361501,1758147030103,
2025-06-27 09:53:31.206000000 +00:00,293962,101,1175794,2025-06-27 09:53:31.206000000 +00:00,,,New Music,,2025-09-17 22:23:26.864000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147048876903234,1758147030103,
2025-07-11 10:42:22.914000000 +00:00,651499,99,2605870,2025-07-11 10:42:22.914000000 +00:00,,,https://app.soundstripe.com/artists/284,,2025-09-17 22:23:38.476000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147070372709971,1758147030103,
2025-07-25 17:59:39.820000000 +00:00,785518,99,3141973,2025-07-25 17:59:39.820000000 +00:00,,,https://app.soundstripe.com/artists/261,,2025-09-17 22:24:00.291000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147078916170252,1758147030103,
2025-07-11 10:53:48.896000000 +00:00,670409,99,2681510,2025-07-11 10:53:48.896000000 +00:00,,,https://app.soundstripe.com/artists/284,,2025-09-17 22:23:41.791000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147071534359739,1758147030103,
2025-06-27 10:47:11.984000000 +00:00,377624,100,1510444,2025-06-27 10:47:11.984000000 +00:00,,,Love Royal? Check out Neon Beach's newest releases and make your project pop.,,2025-09-17 22:23:41.931000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147053789034256,1758147030103,
2025-07-25 18:50:37.097000000 +00:00,848078,99,3392213,2025-07-25 18:50:37.097000000 +00:00,,,https://app.soundstripe.com/artists/426,,2025-09-17 22:24:10.349000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147082798469669,1758147030103,
2025-07-18 09:53:26.890000000 +00:00,739558,98,2958106,2025-07-18 09:53:26.890000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:23:52.963000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147075966709446,1758147030103,
2025-09-05 09:33:38.948000000 +00:00,970466,99,3881678,2025-09-05 09:33:38.948000000 +00:00,,,https://app.soundstripe.com/artists/257,,2025-09-17 22:24:28.105000000 +00:00,2025-09-17 22:11:32.811000000 +00:00,1758147090295585432,1758147030103,
2025-06-30 20:34:19.856000000 +00:00,473841,102,1895318,2025-06-30 20:34:19.856000000 +00:00,,,Supe,,2025-09-17 22:23:57.282000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147059687466049,1758147030103,
2025-06-25 10:32:40.203000000 +00:00,212559,99,850185,2025-06-25 10:32:40.203000000 +00:00,,,https://app.soundstripe.com/artists/340,,2025-09-17 22:24:01.716000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147043867837640,1758147030103,
2025-06-25 10:53:45.963000000 +00:00,247252,98,988955,2025-06-25 10:53:45.963000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:24:07.258000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147046073614208,1758147030103,
2025-06-27 10:36:38.349000000 +00:00,360523,98,1442039,2025-06-27 10:36:38.349000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:23:38.784000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147052822876613,1758147030103,
2025-06-27 09:56:54.987000000 +00:00,299357,98,1197375,2025-06-27 09:56:54.987000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:23:27.900000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147049176402143,1758147030103,
2025-07-18 09:44:33.795000000 +00:00,731800,98,2927074,2025-07-18 09:44:33.795000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:23:51.736000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147075542613728,1758147030103,
2025-07-11 11:03:43.728000000 +00:00,684698,98,2738664,2025-07-11 11:03:43.728000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:23:44.178000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147072421975745,1758147030103,
2025-06-27 11:00:49.861000000 +00:00,399839,99,1599305,2025-06-27 11:00:49.861000000 +00:00,,,https://app.soundstripe.com/artists/263,,2025-09-17 22:23:45.532000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147055062975325,1758147030103,
2025-07-11 10:07:44.752000000 +00:00,597868,100,2391345,2025-07-11 10:07:44.752000000 +00:00,,,Love Storyteller? Check out Shimmer's newest releases and make your project pop.,,2025-09-17 22:23:28.781000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147067289160357,1758147030103,
2025-07-18 10:17:55.414000000 +00:00,763703,98,3054686,2025-07-18 10:17:55.414000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:23:56.787000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147077468869078,1758147030103,
2025-07-11 09:44:24.888000000 +00:00,565964,101,2263727,2025-07-11 09:44:24.888000000 +00:00,,,New Music,,2025-09-17 22:24:12.079000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147065363431887,1758147030103,
2025-07-11 11:05:14.692000000 +00:00,687218,98,2748744,2025-07-11 11:05:14.692000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:23:44.576000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147072645443673,1758147030103,
2025-07-25 18:00:32.724000000 +00:00,786484,98,3145835,2025-07-25 18:00:32.724000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:24:00.446000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147078958548199,1758147030103,
2025-06-25 10:46:45.802000000 +00:00,234604,100,938364,2025-06-25 10:46:45.802000000 +00:00,,,Love Skeleton Hand? Check out Midnight Daydream's newest releases and make your project pop.,,2025-09-17 22:24:05.244000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147045222475611,1758147030103,
2025-07-11 10:19:57.024000000 +00:00,617387,101,2469419,2025-07-11 10:19:57.024000000 +00:00,,,New Music,,2025-09-17 22:23:32.432000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147068423204850,1758147030103,
2025-08-22 09:15:00.196000000 +00:00,937999,99,3751909,2025-08-22 09:15:00.196000000 +00:00,,,https://app.soundstripe.com/artists/284,,2025-09-17 22:24:23.755000000 +00:00,2025-09-17 22:11:32.811000000 +00:00,1758147088262132116,1758147030103,
2025-07-11 10:12:32.371000000 +00:00,605738,99,2422826,2025-07-11 10:12:32.371000000 +00:00,,,https://app.soundstripe.com/artists/256,,2025-09-17 22:23:30.253000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147067776984927,1758147030103,
2025-07-18 09:35:20.498000000 +00:00,723949,99,2895672,2025-07-18 09:35:20.498000000 +00:00,,,https://app.soundstripe.com/artists/258,,2025-09-17 22:23:50.485000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147075027339714,1758147030103,
2025-08-22 09:12:56.308000000 +00:00,936334,99,3745249,2025-08-22 09:12:56.308000000 +00:00,,,https://app.soundstripe.com/artists/260,,2025-09-17 22:24:23.495000000 +00:00,2025-09-17 22:11:32.811000000 +00:00,1758147088193719941,1758147030103,
2025-06-25 10:29:05.181000000 +00:00,207052,99,828157,2025-06-25 10:29:05.181000000 +00:00,,,https://app.soundstripe.com/artists/340,,2025-09-17 22:24:00.827000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147043536831077,1758147030103,
2025-06-27 11:27:17.191000000 +00:00,441174,101,1764642,2025-06-27 11:27:17.191000000 +00:00,,,New Music,,2025-09-17 22:23:52.132000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147057646071706,1758147030103,
2025-05-29 22:38:52.501000000 +00:00,58614,98,234490,2025-05-29 22:38:52.501000000 +00:00,,,You 💗 Piña Colada. Check out their hot new tracks.,,2025-09-17 22:23:36.568000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147034100065771,1758147030103,
2025-06-27 10:25:35.215000000 +00:00,344714,98,1378803,2025-06-27 10:25:35.215000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:23:36.013000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147051822148418,1758147030103,
2025-07-04 09:49:12.400000000 +00:00,527364,98,2109423,2025-07-04 09:49:12.400000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:24:05.853000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147063012984413,1758147030103,
2025-06-25 09:58:31.985000000 +00:00,154983,98,619879,2025-06-25 09:58:31.985000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:23:52.516000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147040264106043,1758147030103,
2025-08-01 09:39:29.535000000 +00:00,898392,101,3593469,2025-08-01 09:39:29.535000000 +00:00,,,New Music,,2025-09-17 22:24:18.313000000 +00:00,2025-09-17 22:11:32.811000000 +00:00,1758147085890498856,1758147030103,
2025-06-27 10:17:23.971000000 +00:00,331356,100,1325372,2025-06-27 10:17:23.971000000 +00:00,,,Love Pursuit & Emotion? Check out Cody Martin's newest releases and make your project pop.,,2025-09-17 22:23:33.663000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147051090942041,1758147030103,
2025-07-11 11:10:40.452000000 +00:00,695756,98,2782896,2025-07-11 11:10:40.452000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:23:45.924000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147073261094147,1758147030103,
2025-07-25 18:32:58.083000000 +00:00,827344,100,3309276,2025-07-25 18:32:58.083000000 +00:00,,,Love With You Always? Check out Moments's newest releases and make your project pop.,,2025-09-17 22:24:07.015000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147081553300993,1758147030103,
2025-07-11 11:09:16.820000000 +00:00,693736,101,2774815,2025-07-11 11:09:16.820000000 +00:00,,,New Music,,2025-09-17 22:23:45.603000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147073052149352,1758147030103,
2025-07-11 11:04:37.374000000 +00:00,686250,101,2744871,2025-07-11 11:04:37.374000000 +00:00,,,New Music,,2025-09-17 22:23:44.423000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147072603235139,1758147030103,
2025-06-27 11:25:53.269000000 +00:00,438830,100,1755268,2025-06-27 11:25:53.269000000 +00:00,,,Love Moonrise? Check out Wayfair's newest releases and make your project pop.,,2025-09-17 22:23:51.763000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147057466510317,1758147030103,
2025-07-04 09:35:54.468000000 +00:00,507878,99,2031481,2025-07-04 09:35:54.468000000 +00:00,,,https://app.soundstripe.com/artists/288,,2025-09-17 22:24:02.767000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147061728037388,1758147030103,
2025-05-29 23:31:35.541000000 +00:00,130572,98,522322,2025-05-29 23:31:35.541000000 +00:00,,,You 💗 No Stress Zone. Check out their hot new tracks.,,2025-09-17 22:23:48.618000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147038779374514,1758147030103,
2025-07-18 09:25:07.090000000 +00:00,715410,101,2861513,2025-07-18 09:25:07.090000000 +00:00,,,New Music,,2025-09-17 22:23:49.111000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147074548205000,1758147030103,
2025-09-05 09:49:19.397000000 +00:00,992909,100,3971449,2025-09-05 09:49:19.397000000 +00:00,,,Love Artificial? Check out Falls's newest releases and make your project pop.,,2025-09-17 22:24:31.179000000 +00:00,2025-09-17 22:11:32.811000000 +00:00,1758147091592120007,1758147030103,
2025-05-29 23:28:04.901000000 +00:00,125535,100,502175,2025-05-29 23:28:04.901000000 +00:00,,,Find more soundtrack-worthy songs from PALA and take your project to the next level.,,2025-09-17 22:23:47.801000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147038471230579,1758147030103,
2025-07-18 10:03:57.017000000 +00:00,749397,101,2997461,2025-07-18 10:03:57.017000000 +00:00,,,New Music,,2025-09-17 22:23:54.543000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147076567479575,1758147030103,
2025-06-27 10:17:57.969000000 +00:00,332221,101,1328830,2025-06-27 10:17:57.969000000 +00:00,,,New Music,,2025-09-17 22:23:33.802000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147051128124240,1758147030103,
2025-05-29 22:17:15.527000000 +00:00,26943,99,107808,2025-05-29 22:17:15.527000000 +00:00,,,https://app.soundstripe.com/artists/46,,2025-09-17 22:23:30.836000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147032170823137,1758147030103,
2025-06-25 10:05:25.913000000 +00:00,166979,99,667865,2025-06-25 10:05:25.913000000 +00:00,,,https://app.soundstripe.com/artists/289,,2025-09-17 22:23:54.436000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147041075106455,1758147030103,
2025-07-25 17:51:26.254000000 +00:00,774485,99,3097841,2025-07-25 17:51:26.254000000 +00:00,,,https://app.soundstripe.com/artists/261,,2025-09-17 22:23:58.504000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147078143685013,1758147030103,
2025-06-27 11:03:13.668000000 +00:00,403687,101,1614694,2025-06-27 11:03:13.668000000 +00:00,,,New Music,,2025-09-17 22:23:46.136000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147055317533738,1758147030103,
2025-05-29 23:23:29.972000000 +00:00,118855,100,475455,2025-05-29 23:23:29.972000000 +00:00,,,Find more soundtrack-worthy songs from PALA and take your project to the next level.,,2025-09-17 22:23:46.701000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147037969282520,1758147030103,
2025-07-11 10:39:41.110000000 +00:00,646835,101,2587211,2025-07-11 10:39:41.110000000 +00:00,,,New Music,,2025-09-17 22:23:37.505000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147070114636833,1758147030103,
2025-07-25 18:30:58.243000000 +00:00,825173,100,3300592,2025-07-25 18:30:58.243000000 +00:00,,,Love Spring Unfolds? Check out Moments's newest releases and make your project pop.,,2025-09-17 22:24:06.667000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147081457199653,1758147030103,
