TIME_TO_READ_BUCKET,DELIVERY_COUNT,PCT_OF_TOTAL
unread,2657992,82.64
< 1 hour,156850,4.88
1-6 hours,3165,0.10
6-24 hours,6379,0.20
1-3 days,11376,0.35
3-7 days,33398,1.04
7+ days,347119,10.79
