NOTIFICATIONS_PER_USER_BUCKET,USER_COUNT,TOTAL_DELIVERIES_IN_BUCKET
1,60201,60201
2-5,380086,968630
6-10,41840,319660
11-25,45047,747242
26-50,20630,706918
50+,5767,413628
