NOTIFICATION_TYPE,TOTAL_DELIVERIES,READ_COUNT,UNREAD_COUNT,READ_RATE_PCT
automatedNotification,2065712,190712,1875000,9.23
targetedNotification,1033505,46469,987036,4.50
genericNotification,165840,163792,2048,98.77
