month_start,tile_05_signups_per_session_reported,tile_05_signups_per_session_corrected,tile_05_signups_per_visitor,tile_06_mqls_per_session_reported,tile_06_mqls_per_session_corrected,tile_06_mqls_per_visitor,tile_11_engaged_signup_cvr_per_engaged_visitor,visitors_total,visitors_engaged,sessions_total,sessions_real,visitor_to_session_ratio_reported,visitor_to_session_ratio_real
2024-05-01,0.03293802285631222,0.03293802285631222,0.05282780285892104,0.0001392025051523405,0.0001392025051523405,0.00022326059252966105,0.1583123142325956,506135.0,168894.0,811767.0,811767.0,0.6234978756219457,0.6234978756219457
2024-06-01,0.03787932988961335,0.03787932988961335,0.06499281191775852,0.00017011913108871474,0.00017011913108871474,0.000291887969578181,0.17231652719816581,366579.0,138263.0,628971.0,628971.0,0.5828233734146725,0.5828233734146725
2024-07-01,0.041519216309017386,0.041519216309017386,0.07173747138132791,0.0002856987613293581,0.0002856987613293581,0.0004936342382284891,0.18548418670571376,330204.0,127709.0,570531.0,570531.0,0.5787660968466218,0.5787660968466218
2024-08-01,0.04131308542476566,0.04131308542476566,0.07437211654316055,0.00024622085664050713,0.00024622085664050713,0.0004432485750494753,0.19409867049009386,320362.0,122752.0,576718.0,576718.0,0.5554915920779306,0.5554915920779306
2024-09-01,0.043430345895007,0.043430345895007,0.07695267299236287,0.0002530620508148598,0.0002530620508148598,0.00044839157602406853,0.2050126008647199,345680.0,129753.0,612498.0,612498.0,0.564377353068908,0.564377353068908
2024-10-01,0.03845336105898214,0.03845336105898214,0.06311039932873723,0.00019786478092927626,0.00019786478092927626,0.0003247395024426058,0.2124759776991559,495782.0,147259.0,813687.0,813687.0,0.6093030858303008,0.6093030858303008
2024-11-01,0.03749673714434874,0.03749673714434874,0.06016363335574026,0.00014878621769772905,0.00014878621769772905,0.00023872795692845072,0.20825782507212548,477531.0,137954.0,766200.0,766200.0,0.6232458888018794,0.6232458888018794
2024-12-01,0.03961970419753311,0.03961970419753311,0.0631546645338849,0.00012884703128860674,0.00012884703128860674,0.00020538495180702512,0.21468643476118116,413857.0,121745.0,659697.0,659697.0,0.6273440685648108,0.6273440685648108
2025-01-01,0.03901612872704795,0.03901612872704795,0.06270433015190759,0.00016557649003071838,0.00016557649003071838,0.0002661043838796499,0.21058992756768719,394582.0,117489.0,634148.0,634148.0,0.6222238341838183,0.6222238341838183
2025-02-01,0.041377513822948714,0.041377513822948714,0.06598394601727994,0.00015566204816310842,0.00015566204816310842,0.00024823135161970955,0.21480284314857265,394793.0,121274.0,629569.0,629569.0,0.6270845610250823,0.6270845610250823
2025-03-01,0.03868906550003325,0.03868906550003325,0.06059007965964613,0.00015139445613310262,0.00015139445613310262,0.00023709546970385225,0.20975437627529495,451295.0,130362.0,706763.0,706763.0,0.638537954024192,0.638537954024192
2025-04-01,0.036913072288228314,0.036913072288228314,0.058677706195037115,0.00016026381890188465,0.00016026381890188465,0.00025475834701026384,0.21014124045968946,408230.0,113990.0,648930.0,648930.0,0.6290817191376574,0.6290817191376574
2025-05-01,0.04285876704943465,0.04285876704943465,0.07561380408091958,0.00032641025735064894,0.00032641025735064894,0.0005758710048949035,0.2097384999192347,309097.0,111434.0,545326.0,545326.0,0.566811411889402,0.566811411889402
2025-06-01,0.036599351557905786,0.036599351557905786,0.06974816977607935,0.0005790466233921317,0.0005790466233921317,0.0011035015779643188,0.19346847383340082,232895.0,83962.0,443833.0,443833.0,0.5247356550774729,0.5247356550774729
2025-07-01,0.02760536116312833,0.02760536116312833,0.04537822524352436,0.0004169878557068996,0.0004169878557068996,0.0006854526817550104,0.18341255115268282,318038.0,78686.0,522797.0,522797.0,0.6083393745564722,0.6083393745564722
2025-08-01,0.027677301281875434,0.027677301281875434,0.041928378907873334,0.0004389179105939892,0.0004389179105939892,0.0006649173009106992,0.15346421703371324,336884.0,92041.0,510346.0,510346.0,0.6601090240738636,0.6601090240738636
2025-09-01,0.04297728903499257,0.04297728903499257,0.06935855789137058,0.0004797503629415789,0.0004797503629415789,0.0007742413276555635,0.1900965983005342,297065.0,108387.0,479416.0,479416.0,0.6196393111619136,0.6196393111619136
2025-10-01,0.04077301161751564,0.04077301161751564,0.06527419100619551,0.00038434740461368354,0.00038434740461368354,0.000615308139041453,0.20222935917662083,329916.0,106488.0,528168.0,528168.0,0.6246421593129459,0.6246421593129459
2025-11-01,0.03410395022952404,0.03410395022952404,0.050441375998749295,0.00033975597970524284,0.00033975597970524284,0.0005025153685950228,0.19411259131929523,358198.0,93080.0,529792.0,529792.0,0.676110624546992,0.676110624546992
2025-12-01,0.023956748749206086,0.023956748749206086,0.032054517920242304,0.0002509375546221832,0.0002509375546221832,0.00033575851321499195,0.17865623870734604,431858.0,77484.0,577833.0,577833.0,0.7473751066484607,0.7473751066484607
2026-01-01,0.024408798883212818,0.024408798883212818,0.03356390977443609,0.00024153946222284773,0.00024153946222284773,0.0003321346845374305,0.1744864247549386,382375.0,73553.0,525794.0,525794.0,0.7272334792713496,0.7272334792713496
2026-02-01,0.02501133554681215,0.02501133554681215,0.03469806595241408,0.00032805176949452864,0.00032805176949452864,0.000455104123185381,0.17730181301102027,344976.0,67512.0,478583.0,478583.0,0.7208279441601562,0.7208279441601562
2026-03-01,0.0209627858347484,0.027590787547500398,0.026721578746954636,0.00016966283499346725,0.000223306733747755,0.00021627177043398536,0.18416928898118304,540986.0,78493.0,689603.0,523943.0,0.784489046596375,1.0325283475492564
2026-04-01,0.025411700269512973,0.02857389632433569,0.03179112864982755,0.00014694635456151541,0.0001652321511723972,0.00018383620194406782,0.1911400831480714,478687.0,79617.0,598858.0,532584.0,0.7993330639316834,0.8988009403211512
