LIFECYCLESTAGE,ROW_COUNT,PCT_OF_TOTAL
lead,1488180,84.68
customer,184984,10.53
subscriber,44932,2.56
258326067,20108,1.14
258322204,4895,0.28
salesqualifiedlead,4891,0.28
262492257,4417,0.25
,4069,0.23
opportunity,955,0.05
marketingqualifiedlead,67,0.00
