DATE,METRIC_NAME,METRIC_VALUE,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,MR_SIGNAL,ANY_SIGNAL
2023-02-14,ACTIVE_MONTHLY_SUBSCRIBERS,17612,11,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-02-15,ACTIVE_MONTHLY_SUBSCRIBERS,17614,2,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-02-16,ACTIVE_MONTHLY_SUBSCRIBERS,17616,2,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-02-17,ACTIVE_MONTHLY_SUBSCRIBERS,17606,10,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-02-18,ACTIVE_MONTHLY_SUBSCRIBERS,17586,20,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-02-19,ACTIVE_MONTHLY_SUBSCRIBERS,17563,23,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-02-20,ACTIVE_MONTHLY_SUBSCRIBERS,17563,0,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-02-21,ACTIVE_MONTHLY_SUBSCRIBERS,17567,4,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-02-22,ACTIVE_MONTHLY_SUBSCRIBERS,17583,16,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-02-23,ACTIVE_MONTHLY_SUBSCRIBERS,17602,19,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-02-24,ACTIVE_MONTHLY_SUBSCRIBERS,17595,7,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-02-25,ACTIVE_MONTHLY_SUBSCRIBERS,17579,16,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-02-26,ACTIVE_MONTHLY_SUBSCRIBERS,17570,9,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-02-27,ACTIVE_MONTHLY_SUBSCRIBERS,17558,12,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-02-28,ACTIVE_MONTHLY_SUBSCRIBERS,17550,8,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-01,ACTIVE_MONTHLY_SUBSCRIBERS,17459,91,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,true,true
2023-03-02,ACTIVE_MONTHLY_SUBSCRIBERS,17412,47,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,true,true
2023-03-03,ACTIVE_MONTHLY_SUBSCRIBERS,17431,19,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-04,ACTIVE_MONTHLY_SUBSCRIBERS,17425,6,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-05,ACTIVE_MONTHLY_SUBSCRIBERS,17427,2,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-06,ACTIVE_MONTHLY_SUBSCRIBERS,17428,1,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-07,ACTIVE_MONTHLY_SUBSCRIBERS,17418,10,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-08,ACTIVE_MONTHLY_SUBSCRIBERS,17438,20,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-09,ACTIVE_MONTHLY_SUBSCRIBERS,17448,10,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-10,ACTIVE_MONTHLY_SUBSCRIBERS,17421,27,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-11,ACTIVE_MONTHLY_SUBSCRIBERS,17406,15,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-12,ACTIVE_MONTHLY_SUBSCRIBERS,17413,7,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-13,ACTIVE_MONTHLY_SUBSCRIBERS,17414,1,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-14,ACTIVE_MONTHLY_SUBSCRIBERS,17408,6,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-15,ACTIVE_MONTHLY_SUBSCRIBERS,17402,6,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-16,ACTIVE_MONTHLY_SUBSCRIBERS,17402,0,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-17,ACTIVE_MONTHLY_SUBSCRIBERS,17385,17,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-18,ACTIVE_MONTHLY_SUBSCRIBERS,17376,9,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-19,ACTIVE_MONTHLY_SUBSCRIBERS,17363,13,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-20,ACTIVE_MONTHLY_SUBSCRIBERS,17382,19,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-21,ACTIVE_MONTHLY_SUBSCRIBERS,17391,9,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-22,ACTIVE_MONTHLY_SUBSCRIBERS,17394,3,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-23,ACTIVE_MONTHLY_SUBSCRIBERS,17398,4,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-24,ACTIVE_MONTHLY_SUBSCRIBERS,17390,8,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-25,ACTIVE_MONTHLY_SUBSCRIBERS,17366,24,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-26,ACTIVE_MONTHLY_SUBSCRIBERS,17376,10,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-27,ACTIVE_MONTHLY_SUBSCRIBERS,17372,4,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-28,ACTIVE_MONTHLY_SUBSCRIBERS,17396,24,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-29,ACTIVE_MONTHLY_SUBSCRIBERS,17421,25,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-03-30,ACTIVE_MONTHLY_SUBSCRIBERS,17470,49,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,true,true
2023-03-31,ACTIVE_MONTHLY_SUBSCRIBERS,17481,11,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-01,ACTIVE_MONTHLY_SUBSCRIBERS,17490,9,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-02,ACTIVE_MONTHLY_SUBSCRIBERS,17458,32,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-03,ACTIVE_MONTHLY_SUBSCRIBERS,17471,13,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-04,ACTIVE_MONTHLY_SUBSCRIBERS,17485,14,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-05,ACTIVE_MONTHLY_SUBSCRIBERS,17499,14,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-06,ACTIVE_MONTHLY_SUBSCRIBERS,17509,10,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-07,ACTIVE_MONTHLY_SUBSCRIBERS,17497,12,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-08,ACTIVE_MONTHLY_SUBSCRIBERS,17476,21,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-09,ACTIVE_MONTHLY_SUBSCRIBERS,17443,33,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-10,ACTIVE_MONTHLY_SUBSCRIBERS,17440,3,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-11,ACTIVE_MONTHLY_SUBSCRIBERS,17458,18,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-12,ACTIVE_MONTHLY_SUBSCRIBERS,17458,0,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-13,ACTIVE_MONTHLY_SUBSCRIBERS,17449,9,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-14,ACTIVE_MONTHLY_SUBSCRIBERS,17440,9,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-15,ACTIVE_MONTHLY_SUBSCRIBERS,17419,21,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-16,ACTIVE_MONTHLY_SUBSCRIBERS,17401,18,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-17,ACTIVE_MONTHLY_SUBSCRIBERS,17405,4,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-18,ACTIVE_MONTHLY_SUBSCRIBERS,17418,13,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-19,ACTIVE_MONTHLY_SUBSCRIBERS,17436,18,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-20,ACTIVE_MONTHLY_SUBSCRIBERS,17441,5,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
